Fecha,CEMEX,GMEXICO,AMZN,TC,AMZN - MXN
11.02.2022, 11.56 , 101.29 ," 3,065.87 ", 20.54 ," 62,972.97 "
10.02.2022, 11.59 , 97.99 ," 3,180.07 ", 20.54 ," 65,328.18 "
09.02.2022, 12.47 , 93.51 ," 3,223.79 ", 20.46 ," 65,965.19 "
08.02.2022, 12.23 , 91.19 ," 3,228.27 ", 20.60 ," 66,495.91 "
04.02.2022, 12.33 , 88.87 ," 3,152.79 ", 20.68 ," 65,194.97 "
03.02.2022, 12.41 , 87.28 ," 2,776.91 ", 20.53 ," 57,012.74 "
02.02.2022, 12.82 , 90.14 ," 3,012.25 ", 20.56 ," 61,940.90 "
01.02.2022, 12.73 , 89.83 ," 3,023.87 ", 20.53 ," 62,080.05 "
31.01.2022, 12.60 , 88.59 ," 2,991.47 ", 20.63 ," 61,699.07 "
28.01.2022, 12.66 , 86.55 ," 2,879.56 ", 20.79 ," 59,863.17 "
27.01.2022, 12.43 , 85.53 ," 2,792.75 ", 20.75 ," 57,946.77 "
26.01.2022, 12.53 , 87.88 ," 2,777.45 ", 20.73 ," 57,579.32 "
25.01.2022, 12.36 , 87.89 ," 2,799.72 ", 20.60 ," 57,674.23 "
24.01.2022, 11.89 , 86.83 ," 2,890.88 ", 20.56 ," 59,439.38 "
21.01.2022, 12.11 , 90.25 ," 2,852.86 ", 20.45 ," 58,343.84 "
20.01.2022, 13.04 , 93.66 ," 3,033.35 ", 20.53 ," 62,271.64 "
19.01.2022, 13.59 , 95.34 ," 3,125.98 ", 20.50 ," 64,088.84 "
18.01.2022, 13.75 , 93.52 ," 3,178.35 ", 20.40 ," 64,825.63 "
17.01.2022, 13.96 , 93.87 ," 3,242.76 ", 20.28 ," 65,766.42 "
14.01.2022, 13.92 , 93.09 ," 3,242.76 ", 20.29 ," 65,795.60 "
13.01.2022, 13.80 , 93.99 ," 3,224.28 ", 20.33 ," 65,559.29 "
12.01.2022, 13.75 , 93.98 ," 3,304.14 ", 20.33 ," 67,186.38 "
11.01.2022, 13.28 , 89.97 ," 3,307.24 ", 20.38 ," 67,385.02 "
10.01.2022, 13.06 , 89.25 ," 3,229.72 ", 20.36 ," 65,757.10 "
07.01.2022, 13.35 , 90.36 ," 3,251.08 ", 20.36 ," 66,191.99 "
06.01.2022, 13.46 , 90.51 ," 3,265.08 ", 20.49 ," 66,888.43 "
05.01.2022, 13.69 , 89.54 ," 3,287.14 ", 20.57 ," 67,600.03 "
04.01.2022, 13.70 , 88.23 ," 3,350.44 ", 20.50 ," 68,687.37 "
03.01.2022, 13.78 , 89.09 ," 3,408.09 ", 20.49 ," 69,845.40 "
31.12.2021, 13.99 , 89.29 ," 3,334.34 ", 20.49 ," 68,310.62 "
30.12.2021, 14.03 , 89.02 ," 3,372.89 ", 20.46 ," 69,004.61 "
29.12.2021, 13.71 , 87.93 ," 3,384.02 ", 20.56 ," 69,572.07 "
28.12.2021, 14.02 , 90.15 ," 3,413.22 ", 20.64 ," 70,455.69 "
27.12.2021, 14.04 , 90.19 ," 3,393.39 ", 20.67 ," 70,148.16 "
24.12.2021, 13.94 , 88.70 ," 3,421.37 ", 20.60 ," 70,480.22 "
23.12.2021, 13.96 , 88.47 ," 3,421.37 ", 20.63 ," 70,565.76 "
22.12.2021, 13.82 , 87.40 ," 3,420.74 ", 20.70 ," 70,792.21 "
21.12.2021, 13.87 , 86.96 ," 3,408.34 ", 20.80 ," 70,896.88 "
20.12.2021, 13.14 , 85.12 ," 3,341.58 ", 20.77 ," 69,417.98 "
17.12.2021, 13.59 , 88.56 ," 3,400.35 ", 20.83 ," 70,839.49 "
16.12.2021, 13.19 , 89.32 ," 3,377.42 ", 20.81 ," 70,267.22 "
15.12.2021, 13.11 , 88.02 ," 3,466.30 ", 21.01 ," 72,816.91 "
14.12.2021, 13.08 , 89.76 ," 3,381.83 ", 21.22 ," 71,762.43 "
13.12.2021, 12.66 , 89.53 ," 3,391.35 ", 21.01 ," 71,252.26 "
10.12.2021, 12.66 , 92.00 ," 3,444.24 ", 20.87 ," 71,867.51 "
09.12.2021, 12.64 , 92.86 ," 3,483.42 ", 20.94 ," 72,932.36 "
08.12.2021, 12.93 , 91.72 ," 3,523.16 ", 20.92 ," 73,708.03 "
